title,color,type,avg_rating,num_of_ratings,selling_price,MRP
Wings Phantom Pro Gaming TWS with 30 Hrs Playtime Bluet...,Black, True Wireless,4.3,4234,2493,5499
Soundcore by Anker Liberty 2 True Wireless Bluetooth He...,Black, True Wireless,3.7,836,4999,9999
InOne High bass Wireless earphone with Magnetic buds an...,Red, In the Ear,5,3,699,1599
Obin BB-01 BoomBass Wired Headset,Black, In the Ear,3.9,10398,239,1299
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.7,670,379,1999
5PLUS 5PHP28 Wired without Mic Headset,Red, On the Ear,3.6,101,496,3399
Sunnybuy TWS T8 True Air_buds Wireless High Bass premiu...,Black, True Wireless,3.5,154,1199,2999
"FIER FGN K1, Magnet pack 2 Bluetooth Headset Bluetooth ...",Black, True Wireless,4,333036,224,899
Boult Audio ProBass Curve Neckband Bluetooth Headset,Blue, Black,3.6,558,799,3499
FLYSTO M9-RD OKEY Bluetooth Headset,Red::Black3, In the Ear,3.7,6415,269,1299
PTron Basspods 581 Bluetooth Headset,Black & Red, True Wireless,3.6,240,999,3799
JBL Live 100BT Bluetooth Headset,Black, In the Ear,4,333036,1688,2999
Boult Audio ProBass Curve Neckband Bluetooth Headset,Black, Grey,3,4,999,3499
JOCOBOO sports wireless SH12 STEREO headphone and wired...,Red, White,3.9,27565,549,1999
Boult Audio Bass Buds StormX Wired Headset,Red, In the Ear,4.8,5,299,999
Cosmic Byte Uranus RGB LED Wired Gaming Headset,Fathom Blue, Black,3.5,881,1548,1599
Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Reverb black, In the Ear,3.9,1724,599,3800
HYATT CREATION Wireless Bluetooth Earphone Bluetooth wi...,White, In the Ear,3.3,193,569,999
Tecno Ace A2 Bluetooth Headset,Black, In the Ear,3.3,1842,590,775
FLYSTO K1 bluetoothmini s650 mini bluetooth earphone CO...,Black, True Wireless,3.5,118,300,999
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,4.5,4,254,1998
"AXYRO Low Price ,HBS-730 sports Wireless Bluetooth Head...",Multicolor, On the Ear,3.8,665,303,999
JOCOBOO in pods 12 pro Bluetooth Headset,matt black, True Wireless,4,2834,549,1299
Aroma NB120 Pro Bigtime - 60 Hours Playtime Bluetooth N...,Silver, Black,3.7,6415,598,3499
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Yellow, Black,3.4,34,533,2499
PTron Basspods 581 Bluetooth Headset,Black & Yellow, True Wireless,3.5,134,999,3799
Musify Trending Best HBS-730 Wireless Neckband With Cal...,Blue, In the Ear,3.9,35280,234,1299
TECHFIRE TF-110 Pro-36 hours playtime Wireless Neckband...,TEAL GREEN, In the Ear,4,3463,599,2850
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,3.7,3,1299,4999
MINISO We Bare Bears In-Ear Headphones with Microphone ...,Pink, In the Ear,4,41082,250,700
"Wanzhow Wireless Headphones with Mic, SweatProof Dual P...",White, True Wireless,3.5,573,379,1399
"ZEBRONICS Zeb - Thunder Wired, Bluetooth Headset",Neon Yellow, On the Ear,3.5,8,899,2499
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Black, True Wireless,3.3,4027,699,2499
tapfuture L21 TWS Bluetooth Headset,Black, In the Ear,3.6,1904,689,2499
NICK JONES TWINS Double Wireless Bluetooth Earbuds with...,White, True Wireless,3.9,0,410,4999
DigiClues Smart TWS Buds-Max With Charging Case HD Soun...,Black, True Wireless,5,0,1499,999
FIER MGNT_k1-2 Bluetooth Headset Bluetooth without Mic ...,Black, True Wireless,1,0,228,0
FUTURESTARRKK TWS i12 Earpods Bluetooth Wireless Earbud...,White, True Wireless,3.7,9495,434,1199
U&I Yes Series Original True Wireless Headset - 8 Hours...,White, True Wireless,4,92275,949,2499
Skullcandy S2DUL-J571 Wired Headset,Purple/Black, In the Ear,4,1934,629,1099
Wings Phantom Pro Gaming TWS with 30 Hrs Playtime Bluet...,Black, True Wireless,4,9,2493,5499
icall BBD-Mini S650 Wireless Bluetooth in-Ear V4.0 with...,Black, True Wireless,3.1,56,349,999
AMJ Sports 9-R1 Wireless Bluetooth Bluetooth Headset,Yellow, In the Ear,3.9,10398,238,899
wow wireless basic wired headset with noice cancellatio...,Blue, In the Ear,3.7,197,235,599
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Black, In the Ear,4.3,14,379,1999
POKRYT Hot SaleASAP charging Version 5.0 Bluetooth earp...,Black, In the Ear,4,333036,899,1999
Foxne Point Wireless Bluetooth 4.1 Headset with Mic for...,White, In the Ear,4,29660,216,799
PREMBROTHERS U&I Hammer Series UINB-4824 Neckband With ...,Black, Red,3.5,843,949,2999
Boult Audio ProBass Curve Neckband Bluetooth Headset,Blue, Black,4,1431,799,3499
Soundcore by Anker Life Note True Wireless Bluetooth He...,White, True Wireless,3.4,134,2493,6999
TECHFIRE Neckband wireless headphones with 16 hours Pla...,Yellow, In the Ear,3.5,1070,399,2550
ZEBRONICS Zeb Duke 101 Wireless Headphone with Mic Blue...,Red, On the Ear,3.8,2949,937,1899
Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Reverb black, In the Ear,3.3,1842,599,3800
"ASWORLD EARPHONES Wired, Bluetooth Headset",White, In the Ear,4,29660,499,999
HOPPUP Vibe with 55 Hours Playtime Bluetooth Headset,Black, Grey,3.6,130,449,1499
Jabra Elite Active 65t Copper Bluetooth Headset,Blue, True Wireless,3.8,9600,4999,16999
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,4,333036,254,1998
Soundcore by Anker Life Note True Wireless Bluetooth He...,Black, True Wireless,3.7,153,2494,6999
KDM A-2 Sport 50H musi time Wireless Bluetooth Headset ...,Black, True Wireless,3.5,1288,969,2999
Nine9 Bluetooth Headphone with FM/SD Card Bluetooth Hea...,White, On the Ear,4.3,36720,499,843
Boult Audio ProBass Curve Neckband Bluetooth Headset,Black, Grey,4,2834,999,3499
Ubon BT-230 Wireless Headphone Immersive Audio Lightwei...,Black, On the Ear,4.2,35,899,1999
Nu Republic Dawn X3 Bluetooth Headset,Red, Black,4,10238,475,1499
JBL Endurance Run Wired Headset,Blue, In the Ear,3.5,2169,1069,1599
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Yellow, Black,3.6,1904,533,2499
gogadget 2 Combo Earphone MH3169 Wired Headset,White, In the Ear,4,7195,232,899
SONY WI-C310 Bluetooth Headset,Black, In the Ear,3.9,28493,2675,2990
TECHFIRE TUNE 200 Platinum Series Neckband - Low Price ...,Yellow, In the Ear,4,10238,474,3850
FIER MGNT_k1-2 Bluetooth Headset Bluetooth without Mic ...,Black, True Wireless,3.5,573,228,999
SAMSUNG Original EHS64AVFBECINU Ultra Bass Wired Headse...,Black, In the Ear,3.6,53,499,2499
JBL T110BT Wireless Pure Bass Bluetooth Headset,Grey, In the Ear,3.9,3034,1648,2990
SONY WI-C310 Bluetooth Headset,Blue, In the Ear,3.9,35280,1999,2499
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Black, True Wireless,3.7,0,699,1999
PREMBROTHERS U&I Titanic series UINB-3987 Neckband With...,Black, In the Ear,5,0,598,999
CrossBuzz PLUS1BULLET WIRELESS 3 NECKBAND BLUETOOTH BAS...,Black, In the Ear,5,0,499,890
SONY MDR-EX15AP_Violet Wired Headset,Violet, In the Ear,3.5,0,885,4999
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,5,0,1299,0
Ucool Evolvesport 30 Hours Backup Wireless Neckband Ear...,Yellow, In the Ear,3.9,1204,499,1999
JBL Wave 100TWS Bluetooth Headset,Black, True Wireless,3.8,1488,3999,6999
XB9 b11 neckband wirless headset P1 Bluetooth Headset,Blue, In the Ear,3.7,38,300,999
Wings Phantom Pro Gaming TWS with 30 Hrs Playtime Bluet...,Black, True Wireless,4,1934,2493,5499
HSJ Original stereo audio Wired Headset,White, In the Ear,3.4,94,248,700
SkyKey SN-I7 SINGLE -353 Bluetooth Headset,White, True Wireless,3.3,85,166,799
Logitech H390 USB Wired Headset,Black, On the Ear,4,18,3299,4695
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.9,10398,379,1999
TECHFIRE Platinum Series Neckband - Low Price Bluetooth...,Black, In the Ear,3.8,3440,599,2850
boAt Rockerz 400 Bluetooth Headset,Carbon Black, On the Ear,4.3,310831,1499,2990
fiado i68-pro earpods 5.0 Tws Wireless Bluetooth Headse...,White, True Wireless,3.8,25,1061,7999
Boult Audio ProBass Curve Neckband Bluetooth Headset,Blue, Black,4,333036,799,3499
OUD 150Hrs Music Time Wireless Deep Bass Stereo Sound N...,Black, In the Ear,3.7,15,799,2499
DigiClues Up to 15 Hrs. Playtime With Mic Bluetooth Hea...,Black, True Wireless,4,333036,649,2999
Vingajoy Quick Charge CL-50 Wireless Neckband 45H Playt...,Black, In the Ear,3.9,246,995,2999
Boult Audio ProBass Curve Neckband Bluetooth Headset,Black, Grey,3.3,34,999,3499
Aroma NB134C Gun Gaming Earbuds Bluetooth Gaming Headse...,Black, True Wireless,3.3,18,949,2999
icall X9 earbuds bluetooth earphones single side Blueto...,Black, True Wireless,3.5,1169,392,999
Earboss Truly Wireless Earbuds/pod/ buds 5.0 Bluetooth ...,Black, True Wireless,4,6102,664,1999
Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Reverb black, In the Ear,3.3,1842,599,3800
CatBull MAGNETIC_BT In-ear Bluetooth Headsets Bluetooth...,Black, In the Ear,3.7,10787,132,699
SONY WI-C200 Bluetooth Headset,White, In the Ear,3.4,482,2090,2990
FIGER BT SL 231 Bluetooth Headset,Silver, Black,4,2834,499,1999
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,3.3,20,254,1998
Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Reverb red, black,4,11150,599,3850
ZEBRONICS ZEB-LARK Bluetooth Headset,Gray, In the Ear,3.6,753,855,1399
P3A Magnet Red & Black Bluetooth Pack of 2 Bluetooth He...,Red, Black,3.9,35280,259,1998
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Yellow, Black,4.4,8,533,2499
drums PRO 35 Bluetooth Headset,Black, True Wireless,4.3,15,899,5999
JBL T50HI Wired Headset,Red, In the Ear,3.5,573,549,999
boAt Rockerz 305v2 Bluetooth Headset,Active Black, In the Ear,4.3,7171,1599,3990
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,3.4,1014,1299,4999
"KAWL KEP161 Octave Wired Earphone, Call Answer HD Sound...",Red, In the Ear,3.6,1904,199,799
PEarl Entities PREGET Wired Headset,Blue, Black,3.7,0,284,799
TRUETAG AIR_POD with Charging Case Bluetooth Headset wi...,White, True Wireless,4,0,1449,3999
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Black, True Wireless,1,0,699,2499
Cosmic Byte H1 Wired Gaming Headset,Blue, On the Ear,3.8,0,882,1199
Togkart TWS i12 Bluetooth Headset,Black, True Wireless,3,0,455,1499
ARHUB A1 bluetooth o for Viv_o/Hono_r/Sam_sung/IOS/Op_p...,Black, True Wireless,3,0,225,599
FIER MGNT_k1-2 Bluetooth Headset Bluetooth without Mic ...,Black, True Wireless,4,0,228,999
Met style ENCO M31 Wireless bluetooth Neckband Bluetoot...,Blue, In the Ear,4.1,274,999,1999
Fire-Boltt BN1000 Bluetooth Headset,Black Red, In the Ear,4,1934,1299,2499
Hitage GH1927+ Wired Gaming Earphone with Detachable Lo...,Blue, In the Ear,3.6,11,499,1098
Wings Phantom Pro Gaming TWS with 30 Hrs Playtime Bluet...,Black, True Wireless,3.8,49,2493,5499
Casa Tech True Wireless Chargeable Earbud Bluetooth Hea...,White, True Wireless,4.4,7,349,800
Blaupunkt BTW25F GR Bluetooth Headset,Green, True Wireless,3.9,10398,1999,2999
ODIO OWE11 The Moksha Series(Aqua Blue) Wired Headset,Blue, In the Ear,4.1,257,249,499
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.8,34,379,1999
Crystal Digital HBS-730 Bluetooth Headset Easy To Carry...,Black, In the Ear,4,333036,475,1699
Fire-Boltt BH1000 Bluetooth Headset,Black Blue, On the Ear,3.9,100,1599,2999
Fingers Chic BT5 Bluetooth Headset,Grey, In the Ear,3.6,14,1799,1999
Boult Audio ProBass Curve Neckband Bluetooth Headset,Blue, Black,4,333036,799,3499
Hitage NBT-6586+ RED Ultra BATTERY Magnetic Sports Part...,Red, In the Ear,3.7,1039,900,2999
Musify New 730 Sports Handsfree Calling Compatible With...,Black, In the Ear,3.8,704,234,1299
Sandarbh i7s Tws Ear Buds Wireless Bluetooth Earphone T...,White, True Wireless,3.8,610,349,999
Boult Audio ProBass Curve Neckband Bluetooth Headset,Black, Grey,3.6,165,999,3499
TCL SOCL200BT Bluetooth Headset,Phantom Black, In the Ear,3.3,1842,1199,2199
SONY WH-CH710N Active noise cancellation enabled Blueto...,Black, On the Ear,3.7,129,7990,14990
ZEBRONICS Zeb- Yoga 90 Pro Wireless Neckband (Black) Bl...,Black, In the Ear,4.1,9,937,2999
Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Reverb black, In the Ear,4.3,19,599,3800
wow wireless WX-250 BLUETOOTH NECKBAND WITH 30 HOURS BA...,Blue, In the Ear,4,2834,649,2499
Hitage in-Ear Extra Bass earphone Wired Headset with Mi...,Black, In the Ear,3.7,10787,156,799
"ULTADOR Earbuds WirelessEarphones Noise Cancellation, 1...",Black, True Wireless,4.3,140,849,1699
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,3.9,167,254,1998
Nu Republic Flo 2 Bluetooth Headset,Black, True Wireless,3.6,1904,999,2999
WRAPMAXTECH OG True Wireless R11 Bluetooth Headset,Black, True Wireless,3.8,476,849,1900
CLAW SM50 Professional Wired Headset,Black, On the Ear,3.3,38,1890,2990
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Yellow, Black,3.6,802,533,2499
ZEBRONICS Zeb-lark Bluetooth Headset,Orange, In the Ear,3.5,573,1150,1399
EKSA E900 Pro Wired Gaming Headset,Black, On the Ear,3.6,28,3229,4076
HRX X-Wave 9R_1 Bluetooth Headset,Solar Gold, In the Ear,3.7,125,999,1999
FIER MGNT_k1-2 Bluetooth Headset Bluetooth without Mic ...,Black, True Wireless,3.9,35280,228,999
Portronics Harmonics One Sports Bluetooth Headset,Black, In the Ear,3.8,0,797,1999
"KDM Wireless Earbuds 15 Hrs Playtime (4 Hrs Earbuds, 11...",Grey, In the Ear,5,0,1499,2999
Sunnybuy i12 TWS Bluetooth 5.0 (Sky Blue) Bluetooth Hea...,Blue, True Wireless,5,0,999,1449
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Black, True Wireless,3.8,0,699,2499
PADRAIG Metal Magnetic Wireless Bluetooth Sports Stereo...,Multicolor, In the Ear,5,0,219,999
ULTADOR i 12 Q2 Neo with Environment Cancellation Bluet...,White, True Wireless,3,0,749,1899
Hitage NBT-6858 Audio ProBass `Neckband Bluetooth Heads...,Red, In the Ear,3.7,0,521,1699
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,4,0,1299,4999
