title,color,type,avg_rating,num_of_ratings,selling_price,MRP
realme Buds Classic RMA2001 Wired Earphones with HD Mic...,White, In the Ear,4.2,105190,399,699
P3A K1 & Red Magnet Bluetooth Pack of 2 Bluetooth Heads...,Red, Black,3.6,330,257,1998
Wings Phantom Pro Gaming TWS with 30 Hrs Playtime Bluet...,Black, True Wireless,4,1934,2493,5499
Aroma NB119 Rock - 40 Hours Playtime Bluetooth Neckband...,Black, In the Ear,4,2909,669,2999
INFINITY (JBL) Glide N120 Bluetooth Headset,Black, Red,4.1,122548,1499,3999
boAt Rockerz 235v2 Bluetooth Headset,Black, In the Ear,4.2,1299042,999,2990
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.9,10398,379,1999
BRD BLUETOOTHHEADSET-A37 Bluetooth Headset,White, Black,3.7,23,240,999
boAt Rockerz 255F Pro with Fast Charging Bluetooth Head...,Blazing Yellow, In the Ear,4.2,229212,1149,3249
realme Buds 2 Wired Headset,Orange, In the Ear,4.3,535144,599,799
Boult Audio ProBass Curve Neckband Bluetooth Headset,Black, Grey,4,333036,999,3499
Noise Buds Prima with 42 hrs of playtime and Quad Mic B...,Hope Blue, True Wireless,3.8,417,1799,5999
boAt BassHeads 100 Wired Headset,Taffy Pink, In the Ear,4.3,1049774,399,999
U&I Bigger Series Neckband with 100 Hours Battery Backu...,Black, In the Ear,4,1325,699,3499
Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Reverb black, In the Ear,4.4,528,599,3800
DEFY CrestX with 16 Hours Playtime and Low Latency Blue...,Electric Blue, In the Ear,4.2,229212,699,1999
boAt Rockerz 255F Pro with Fast Charging Bluetooth Head...,Raging Red, In the Ear,3.8,60,1149,3499
Ruhi Collection Best Collection Earphones for In-Ear Ha...,White, In the Ear,3.9,35280,169,999
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,3.4,367,1299,4999
BLYTHE KAJU Bluetooth Mini Earphone Bluetooth Headset,Black, True Wireless,3.7,1163,179,999
Aroma NB136A Rifle Gaming Earbuds Bluetooth Gaming Head...,Black, True Wireless,4,30895,854,2499
DIZO by realme TechLife GoPods D with Enviornment Noise...,White, True Wireless,4,2834,999,2499
Aroma NB119 Advance - 40 Hours Playtime Bluetooth Neckb...,Yellow, Black,3.7,134,533,2499
yRut NEW SOON_NY SUPER BASS SOUND LOW PRICE IN2 BLUETOO...,Blue, In the Ear,4.3,114661,498,999
boAt BassHeads 172 Wired Headset,Jazzy Blue, In the Ear,4,25305,499,1299
Boult Audio Pro Bass Curve Pro Bluetooth Headset,Grey, In the Ear,3.3,1842,1099,4999
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,4,70713,254,1998
SAMSUNG Level U2 With Type-C Charging Bluetooth Headset,Blue, In the Ear,4.2,258319,2199,2999
realme Buds Wireless Bluetooth Headset,Yellow, In the Ear,4,4948,1780,1999
realme Buds Q2 with Active Noise Cancellation Bluetooth...,Black, In the Ear,3.9,13327,2499,3499
U&I Fighter Series Deep Bass Neckband with 12 Hours Mus...,Black, In the Ear,4.2,258319,399,1999
Enacfire E60 Bullets Wireless Z Bass Edition Neckband h...,Bass Blue, In the Ear,3.6,11358,599,3850
realme Buds Wireless Bluetooth Headset,Green, In the Ear,3.9,18893,1765,1999
VR WORLD Bt01 Blutooth Headset Bluetooth Headset,Black, In the Ear,3.3,188,181,1190
WeCool Moonwalk Mini in ear bluetooth Earbuds with 16 h...,Black, Yellow,4.3,1049774,849,1999
CADNUT HBS 730 Wireless Neckband Bluetooth Earphone Blu...,Black, True Wireless,4.1,1089,238,999
boAt BassHeads 100 Wired Headset,White, In the Ear,3.7,6288,399,839
Aroma NB119 Champion - 50 Hours Playtime Bluetooth Neck...,Blue, In the Ear,4,0,649,2999
"FIER FGN-K1B,K1W Pack 2bluetooth,headphone Bluetooth He...",Black, White,5,0,217,799
Ucool Prime 48 Hours Playtime Wireless Neckband Earphon...,Black, In the Ear,4,805,599,1999
Boult Audio ProBass Escape Bluetooth Headset,Black, In the Ear,3.9,13427,899,3999
INFINITY (JBL) Glide N120 Bluetooth Headset,Black, Yellow,4.1,122548,1499,3999
Wings Phantom Pro Gaming TWS with 30 Hrs Playtime Bluet...,Black, True Wireless,4,1934,2493,5499
BRD BLUETOOTHHEADSET-A33 Bluetooth Headset,White, True Wireless,3.5,1269,260,999
boAt Airdopes 402 Bluetooth Headset,Bold Blue, True Wireless,3.9,202799,1599,5990
Noise Buds Prima with 42 hrs of playtime and Quad Mic B...,Simply Beige, True Wireless,3.8,417,1799,5999
Aroma NB120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Black, In the Ear,3.9,10398,379,1999
boAt Bassheads 242 Wired Headset,Blue, In the Ear,4.3,405112,549,1490
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Blue, True Wireless,3.9,35280,1299,4999
boAt Rockerz 510 Super Extra Bass Bluetooth Headset,Furious blue, On the Ear,4.4,151981,1399,3490
Boult Audio ProBass Curve Neckband Bluetooth Headset,Black, Grey,4,333036,999,3499
boAt Rockerz 255F Pro/ Rockerz 255 Pro Bluetooth Headse...,Active Black Indi, In the Ear,3.9,239,1149,3499
CADNUT Wireless Earphone G with Portable Charging Case ...,Blue, True Wireless,3.6,1318,474,1499
"Microflash Touch, Voice Control-LED Display Earbuds Blu...",Black, True Wireless,4,2014,1199,2499
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,3.3,1842,254,1998
OnePlus Buds Bluetooth Headset,Grey, True Wireless,4.1,31872,4990,1999
